Gene,N-FACS (1+2+3),N-T0 (2+3),N-T3 (1+2+3)
128up,81.74244283,74.39685644,63.48271896
14-3-3epsilon,2912.305102,1845.069771,1551.387493
14-3-3zeta,1218.777136,1117.357957,1073.272775
140up,22.92108437,20.05359218,18.77261045
18w,26.42242712,3.993876823,3.40693439
26-29-p,80.93994352,80.0681693,59.29745294
2mit,30.0472648,1.147602905,0.82479508
312,16.33420152,23.67239911,22.40097954
4E-T,156.1535049,98.15275757,106.7846695
4EHP,84.92143395,59.29980316,59.64815997
5-HT1A,8.757474347,0.141639877,0.070817922
5-HT1B,3.122620673,0,0
5-HT2A,1.755349228,0.881502319,0.561956727
5-HT2B,1.544540931,0.037557365,0.0326949
5-HT7,3.651524796,0.297763644,0.149622271
5.8SrRNA:CR40454,0.189189923,0.037557365,0.104791974
5PtaseI,25.5583448,39.86078172,34.83721735
5SrRNA-Psi:CR33356,0,0,0
5SrRNA-Psi:CR33363,0,0.052041256,0
5SrRNA-Psi:CR33371,0,0,0
5SrRNA-Psi:CR33416,0,0,0
5SrRNA:CR33353,0,0,0
5SrRNA:CR33354,0,0,0
5SrRNA:CR33355,0,0,0
5SrRNA:CR33357,0,0,0
5SrRNA:CR33358,0,0,0
5SrRNA:CR33359,0,0,0
5SrRNA:CR33360,0,0,0
5SrRNA:CR33361,0,0,0
5SrRNA:CR33362,0,0,0
5SrRNA:CR33364,0,0,0
5SrRNA:CR33365,0,0,0
5SrRNA:CR33366,0,0,0
5SrRNA:CR33367,0,0,0
5SrRNA:CR33368,0,0,0
5SrRNA:CR33369,0,0,0
5SrRNA:CR33370,0,0,0
5SrRNA:CR33372,0,0,0
5SrRNA:CR33373,0,0,0
5SrRNA:CR33374,0,0,0
5SrRNA:CR33375,0,0,0
5SrRNA:CR33376,0,0,0
5SrRNA:CR33377,0,0,0
5SrRNA:CR33378,0,0,0
5SrRNA:CR33379,0,0,0
5SrRNA:CR33380,0,0,0
5SrRNA:CR33381,0,0,0
5SrRNA:CR33382,0,0,0
5SrRNA:CR33383,0,0,0
5SrRNA:CR33384,0,0,0
5SrRNA:CR33385,0,0,0
5SrRNA:CR33386,0,0,0
5SrRNA:CR33387,0,0,0
5SrRNA:CR33388,0,0,0
5SrRNA:CR33389,0,0,0
5SrRNA:CR33390,0,0,0
5SrRNA:CR33391,0,0,0
5SrRNA:CR33392,0,0,0
5SrRNA:CR33393,0,0,0
5SrRNA:CR33394,0,0,0
5SrRNA:CR33395,0,0,0
5SrRNA:CR33396,0,0,0
5SrRNA:CR33397,0,0,0
5SrRNA:CR33398,0,0,0
5SrRNA:CR33399,0,0,0
5SrRNA:CR33400,0,0,0
5SrRNA:CR33401,0,0,0
5SrRNA:CR33402,0,0,0
5SrRNA:CR33403,0,0,0
5SrRNA:CR33404,0,0,0
5SrRNA:CR33405,0,0,0
5SrRNA:CR33406,0,0,0
5SrRNA:CR33407,0,0,0
5SrRNA:CR33408,0,0,0
5SrRNA:CR33409,0,0,0
5SrRNA:CR33410,0,0,0
5SrRNA:CR33411,0,0,0
5SrRNA:CR33412,0,0,0
5SrRNA:CR33413,0,0,0
5SrRNA:CR33414,0,0,0
5SrRNA:CR33415,0,0,0
5SrRNA:CR33417,0,0,0
5SrRNA:CR33418,0,0,0
5SrRNA:CR33419,0,0,0
5SrRNA:CR33420,0,0,0
5SrRNA:CR33421,0,0,0
5SrRNA:CR33422,0,0,0
5SrRNA:CR33423,0,0,0
5SrRNA:CR33424,0,0,0
5SrRNA:CR33425,0,0,0
5SrRNA:CR33426,0,0,0
5SrRNA:CR33427,0,0,0
5SrRNA:CR33428,0,0,0
5SrRNA:CR33429,0,0,0
5SrRNA:CR33430,0,0,0
5SrRNA:CR33431,0,0,0
5SrRNA:CR33432,0,0,0
5SrRNA:CR33433,0,0,0
5SrRNA:CR33434,0,0,0
5SrRNA:CR33435,0,0,0
5SrRNA:CR33436,0,0,0
5SrRNA:CR33437,0,0,0
5SrRNA:CR33438,0,0,0
5SrRNA:CR33439,0,0,0
5SrRNA:CR33440,0,0,0
5SrRNA:CR33441,0,0,0
5SrRNA:CR33442,0,0,0
5SrRNA:CR33443,0,0,0
5SrRNA:CR33444,0,0,0
5SrRNA:CR33445,0,0,0
5SrRNA:CR33446,0,0,0
5SrRNA:CR33447,0,0,0
5SrRNA:CR33448,0,0,0
5SrRNA:CR33449,0,0,0
5SrRNA:CR33450,0,0,0
5SrRNA:CR33451,0,0,0
5SrRNA:CR33452,0,0,0
7B2,62.73868165,0.875608012,0.419041731
7SLRNA:CR32864,0,0,0
7SLRNA:CR42652,0,0,0
825-Oak,0,0.15022946,0.148343119
A16,65.66562103,70.76827591,64.94048264
A2bp1,317.2358801,127.1600895,174.8045126
ABCB7,34.6118753,52.99490189,56.43435572
ACC,111.1682146,156.1929918,130.4932716
ACXA,0.062428157,0,0.072097074
ACXB,0,0,0
ACXC,0.031214078,0,0
ACXD,0.441136985,0.112672095,0.412334456
ACXE,0.124856314,0,0
AGBE,95.21259279,136.2426511,139.9603771
AGO1,508.9637993,376.9149969,656.5698958
AGO2,315.0895869,548.8938488,558.3070305
AGO3,3.523537395,6.359814316,9.636058417
AIF,96.62586113,81.74966115,71.96291715
ALiX,148.2212192,251.5616433,266.3502624
AMPKalpha,87.71745183,152.0549563,137.7869027
AMPdeam,98.00964183,125.6745476,138.7701962
AP-1-2beta,189.8743218,204.5476323,172.6890896
AP-1gamma,184.5419712,196.2408801,193.3691652
AP-1mu,65.44117822,65.27379225,58.15627731
AP-1sigma,47.56956942,64.53224204,61.26703952
AP-2alpha,174.2405627,144.4267554,125.1123421
AP-2mu,114.4846544,98.93997676,87.07231253
AP-2sigma,64.13651667,55.80631372,48.18209669
APC10,27.00656548,31.41611814,26.52879161
APC4,47.314448,63.17866564,58.14551649
APC7,1.208308653,3.722385684,3.348874891
APP-BP1,62.94319197,95.88216227,106.8725434
AQP,0.319796815,0.283279753,0.552379635
ARY,0,0,0
ASPP,26.85524634,159.6538107,196.3246667
ATP7,31.42420785,41.87540305,42.04355998
ATPCL,265.4066478,287.7936938,246.1392428
ATPsyn-Cf6,141.4958157,111.6629809,95.63017877
ATPsyn-b,254.1734984,242.1981223,202.7228745
ATPsyn-beta,1127.957098,991.8482254,792.1348085
ATPsyn-d,235.3378282,181.931399,142.2039951
ATPsyn-gamma,303.4510615,289.5215348,254.6639844
ATbp,17.72453381,24.47609142,20.74933575
Aac11,431.0092392,441.8520857,428.382707
Aatf,79.78680153,60.56614898,62.38763064
Aats-ala,443.622113,504.2030296,521.5550008
Aats-ala-m,21.44414503,31.51042705,28.48323978
Aats-arg,136.9644748,125.6565375,112.1898787
Aats-asn,370.7325327,234.732116,213.1268199
Aats-asp,296.2503537,353.2352219,381.0262365
Aats-cys,69.93818301,80.03718651,88.92239595
Aats-gln,104.1586103,163.360227,151.8437874
Aats-glupro,319.4717331,333.1157848,296.3126818
Aats-gly,310.5647831,384.8121741,400.156182
Aats-his,254.7492375,366.3654885,354.1050689
Aats-ile,415.9717173,490.3639091,483.931823
Aats-leu,33.07581904,54.43487789,50.64931247
Aats-lys,332.1431417,357.5080212,324.5256769
Aats-met,17.34563,22.94163,19.40566351
Aats-phe,18.41588063,17.98473807,17.89377868
Aats-pro,13.38451836,20.70705504,21.41455217
Aats-ser,31.60499305,53.64516571,44.60935654
Aats-thr,579.2266561,540.3967175,503.7805134
Aats-trp,95.86461186,116.7855937,123.3280074
Aats-tyr,103.4564775,118.2809865,135.5557475
Aats-tyr-m,22.50427555,26.34116356,24.80030403
